PROJECT NUMBER,49,,,,,,,
PROJECT NAME,Wave Diaries,,,,,,,
PROJECT MENTOR (sponsor),Karan Nijhawan,,,,,,,
,,,,,,,,
Activity Name,Type,Responsible,Estimated Team Hours,Actual Hours,Status,Comments,Estimation error,Estimation error %
    See Instructions sheet for usage,,,,,,,,
,,,,,,,,
Week 1 (January 16-  January 21)  Project Not Allocated,,,,,,,,
Week 2 (January 22 - January  28),,,,,,,,
Learn Express JS and node js,Preparation,Aditya,5,4.5,Done,Tech stack required for backend,0.5,11.11111111
GIT Repository setup,Preparation,Raunak,0.25,0.25,Done,Project Management Tool,0,0
MoM-1,Documentation,Raunak,0.5,0.75,Done,Recalled meeting details and documented them,-0.25,33.33333333
Learn React,Preparation,Shivam,4,5,Done,Learning react is necessary for front end development,-1,20
Team Meeting,Coordination,"Aditya, Manit, Raunak, Shivam",1,2,Done,Discussed initial ideas about project,-1,50
Status tracker,Documentation,Aditya,1,1,Done,Tracking work documentation,0,0
Client Meeting-1,Requirements,"Aditya, Manit, Raunak, Shivam",0.5,0.5,Done,Met the client for the first time,0,0
Tried out API Calls,Preparation,Manit,1,0.75,Done,Tried out OpenAI's Whisper API Calls,0.25,33.33333333
,,,,,,,,
Week 3 (January 29 - February 4),,,,,,,,
Project Synopsis,Documentation,"Aditya, Raunak",1.5,2.5,Done,Initial synopsis,-1,40
Project Plan,Documentation,Shivam,2,2,Done,Initial plan,0,0
User Usage Flowchart,Design,Shivam,2,1.5,Done,Design for better management and clarity,0.5,33.33333333
Status tracker,Documentation,"Aditya, Raunak",1,1,Done,Tracking work documentation,0,0
Reading Tasks,Requirements,"Raunak, Manit",4,4.5,Done,Client assigned work,-0.5,11.11111111
Team Meeting,Coordination,"Aditya, Manit, Raunak, Shivam",1,2,Done,"Discussed tech stack to be used, discussed requirements, discussed team roles(rough)",-1,50
Learn Figma and React Basics,Preparation,Raunak,3,3.5,Done,Required for UI/UX design,,
Read about RAG,Preparation,Manit,2.5,2,Done,Read about long-term memory for LLMs,,
Meet Scheduling,Coordination,Raunak,0.25,0.25,Done,Weekly meets schedule,,
Client Meeting-2,Requirements,"Aditya, Manit, Raunak, Shivam",0.5,,,,,
Client Meet- Tracking weekly work,Coordination,"Aditya, Manit, Raunak, Shivam",0.5,,,,,
,,,,,,,,
,,,,,,,,#REF!
Week 4,,,,,,,#REF!,#REF!
,,,,,,,#REF!,#REF!
,,,,,,,#REF!,#REF!
Week 5,,,,,,,#REF!,#REF!
,,,,,,,#REF!,#REF!
,,,,,,,#REF!,#REF!
,,,,,,,#REF!,#REF!
Week 6,,,,,,,#REF!,#REF!
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
